"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"226 Openbare orde misdrijf (overig)";"2014";"Amsterdam";180
"226 Openbare orde misdrijf (overig)";"2015";"Amsterdam";130
"226 Openbare orde misdrijf (overig)";"2016";"Amsterdam";140
"226 Openbare orde misdrijf (overig)";"2017";"Amsterdam";115
"226 Openbare orde misdrijf (overig)";"2018";"Amsterdam";145
"226 Openbare orde misdrijf (overig)";"2019";"Amsterdam";170
"226 Openbare orde misdrijf (overig)";"2020";"Amsterdam";125
"226 Openbare orde misdrijf (overig)";"2021";"Amsterdam";120
"226 Openbare orde misdrijf (overig)";"2022*";"Amsterdam";165
"226 Openbare orde misdrijf (overig)";"2023*";"Amsterdam";120
"23 Brandstichting / ontploffing";"2010";"Amsterdam";270
"23 Brandstichting / ontploffing";"2011";"Amsterdam";250
"23 Brandstichting / ontploffing";"2012";"Amsterdam";220
"23 Brandstichting / ontploffing";"2013";"Amsterdam";190
"23 Brandstichting / ontploffing";"2014";"Amsterdam";210
"23 Brandstichting / ontploffing";"2015";"Amsterdam";250
"23 Brandstichting / ontploffing";"2016";"Amsterdam";245
"23 Brandstichting / ontploffing";"2017";"Amsterdam";250
"23 Brandstichting / ontploffing";"2018";"Amsterdam";225
"23 Brandstichting / ontploffing";"2019";"Amsterdam";250
"23 Brandstichting / ontploffing";"2020";"Amsterdam";260
"23 Brandstichting / ontploffing";"2021";"Amsterdam";265
"23 Brandstichting / ontploffing";"2022*";"Amsterdam";295
"23 Brandstichting / ontploffing";"2023*";"Amsterdam";345
"24 Openbaar gezag misdrijf";"2010";"Amsterdam";1135
"24 Openbaar gezag misdrijf";"2011";"Amsterdam";1200
"24 Openbaar gezag misdrijf";"2012";"Amsterdam";955
"24 Openbaar gezag misdrijf";"2013";"Amsterdam";935
"24 Openbaar gezag misdrijf";"2014";"Amsterdam";965
"24 Openbaar gezag misdrijf";"2015";"Amsterdam";935
"24 Openbaar gezag misdrijf";"2016";"Amsterdam";1155
"24 Openbaar gezag misdrijf";"2017";"Amsterdam";1605
"24 Openbaar gezag misdrijf";"2018";"Amsterdam";1400
"24 Openbaar gezag misdrijf";"2019";"Amsterdam";1360
"24 Openbaar gezag misdrijf";"2020";"Amsterdam";890
"24 Openbaar gezag misdrijf";"2021";"Amsterdam";1525
"24 Openbaar gezag misdrijf";"2022*";"Amsterdam";925
"24 Openbaar gezag misdrijf";"2023*";"Amsterdam";990
"241 Niet opvolgen van ambtelijk bevel";"2010";"Amsterdam";730
"241 Niet opvolgen van ambtelijk bevel";"2011";"Amsterdam";825
"241 Niet opvolgen van ambtelijk bevel";"2012";"Amsterdam";680
"241 Niet opvolgen van ambtelijk bevel";"2013";"Amsterdam";715
"241 Niet opvolgen van ambtelijk bevel";"2014";"Amsterdam";755
