"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2013";"Bloemgrachtbuurt";"      18"
"1.1.1 Diefstal/inbraak woning";"2014";"Bloemgrachtbuurt";"      17"
"1.1.1 Diefstal/inbraak woning";"2015";"Bloemgrachtbuurt";"      23"
"1.1.1 Diefstal/inbraak woning";"2016";"Bloemgrachtbuurt";"      13"
"1.1.1 Diefstal/inbraak woning";"2017";"Bloemgrachtbuurt";"      19"
"1.1.1 Diefstal/inbraak woning";"2018";"Bloemgrachtbuurt";"      17"
"1.1.1 Diefstal/inbraak woning";"2019";"Bloemgrachtbuurt";"      26"
"1.1.1 Diefstal/inbraak woning";"2020";"Bloemgrachtbuurt";"      15"
"1.1.1 Diefstal/inbraak woning";"2021";"Bloemgrachtbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2022";"Bloemgrachtbuurt";"      10"
"1.1.1 Diefstal/inbraak woning";"2023";"Bloemgrachtbuurt";"      16"
"1.1.1 Diefstal/inbraak woning";"2012";"Groenmarktkadebuurt";"       4"
"1.1.1 Diefstal/inbraak woning";"2013";"Groenmarktkadebuurt";"       2"
"1.1.1 Diefstal/inbraak woning";"2014";"Groenmarktkadebuurt";"       5"
"1.1.1 Diefstal/inbraak woning";"2015";"Groenmarktkadebuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2016";"Groenmarktkadebuurt";"       1"
"1.1.1 Diefstal/inbraak woning";"2017";"Groenmarktkadebuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2018";"Groenmarktkadebuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2019";"Groenmarktkadebuurt";"       7"
"1.1.1 Diefstal/inbraak woning";"2020";"Groenmarktkadebuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2021";"Groenmarktkadebuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2022";"Groenmarktkadebuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2023";"Groenmarktkadebuurt";"       1"
"1.1.1 Diefstal/inbraak woning";"2012";"Marnixbuurt-Zuid";"       1"
"1.1.1 Diefstal/inbraak woning";"2013";"Marnixbuurt-Zuid";"       3"
"1.1.1 Diefstal/inbraak woning";"2014";"Marnixbuurt-Zuid";"       3"
"1.1.1 Diefstal/inbraak woning";"2015";"Marnixbuurt-Zuid";"       0"
"1.1.1 Diefstal/inbraak woning";"2016";"Marnixbuurt-Zuid";"       5"
"1.1.1 Diefstal/inbraak woning";"2017";"Marnixbuurt-Zuid";"       6"
"1.1.1 Diefstal/inbraak woning";"2018";"Marnixbuurt-Zuid";"       5"
"1.1.1 Diefstal/inbraak woning";"2019";"Marnixbuurt-Zuid";"       5"
"1.1.1 Diefstal/inbraak woning";"2020";"Marnixbuurt-Zuid";"       4"
"1.1.1 Diefstal/inbraak woning";"2021";"Marnixbuurt-Zuid";"       1"
"1.1.1 Diefstal/inbraak woning";"2022";"Marnixbuurt-Zuid";"       3"
"1.1.1 Diefstal/inbraak woning";"2023";"Marnixbuurt-Zuid";"       1"
"1.1.1 Diefstal/inbraak woning";"2012";"Elandsgrachtbuurt";"      25"
"1.1.1 Diefstal/inbraak woning";"2013";"Elandsgrachtbuurt";"      23"
"1.1.1 Diefstal/inbraak woning";"2014";"Elandsgrachtbuurt";"      19"
"1.1.1 Diefstal/inbraak woning";"2015";"Elandsgrachtbuurt";"      25"
"1.1.1 Diefstal/inbraak woning";"2016";"Elandsgrachtbuurt";"      12"
"1.1.1 Diefstal/inbraak woning";"2017";"Elandsgrachtbuurt";"      22"
"1.1.1 Diefstal/inbraak woning";"2018";"Elandsgrachtbuurt";"      14"
"1.1.1 Diefstal/inbraak woning";"2019";"Elandsgrachtbuurt";"      16"
"1.1.1 Diefstal/inbraak woning";"2020";"Elandsgrachtbuurt";"      21"
"1.1.1 Diefstal/inbraak woning";"2021";"Elandsgrachtbuurt";"      13"
"1.1.1 Diefstal/inbraak woning";"2022";"Elandsgrachtbuurt";"      10"
"1.1.1 Diefstal/inbraak woning";"2023";"Elandsgrachtbuurt";"      14"
"1.1.1 Diefstal/inbraak woning";"2012";"Passeerdersgrachtbuurt";"       6"
