"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2019";"Elandsgrachtbuurt";"      26"
"1.3.1 Ongevallen (weg)";"2020";"Elandsgrachtbuurt";"      17"
"1.3.1 Ongevallen (weg)";"2021";"Elandsgrachtbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2022";"Elandsgrachtbuurt";"      22"
"1.3.1 Ongevallen (weg)";"2023";"Elandsgrachtbuurt";"      19"
"1.3.1 Ongevallen (weg)";"2012";"Passeerdersgrachtbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2013";"Passeerdersgrachtbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2014";"Passeerdersgrachtbuurt";"       3"
"1.3.1 Ongevallen (weg)";"2015";"Passeerdersgrachtbuurt";"       4"
"1.3.1 Ongevallen (weg)";"2016";"Passeerdersgrachtbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2017";"Passeerdersgrachtbuurt";"       9"
"1.3.1 Ongevallen (weg)";"2018";"Passeerdersgrachtbuurt";"       4"
"1.3.1 Ongevallen (weg)";"2019";"Passeerdersgrachtbuurt";"       9"
"1.3.1 Ongevallen (weg)";"2020";"Passeerdersgrachtbuurt";"       4"
"1.3.1 Ongevallen (weg)";"2021";"Passeerdersgrachtbuurt";"       2"
"1.3.1 Ongevallen (weg)";"2022";"Passeerdersgrachtbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2023";"Passeerdersgrachtbuurt";"       4"
"1.3.1 Ongevallen (weg)";"2012";"Grachtengordel-West";"      43"
"1.3.1 Ongevallen (weg)";"2013";"Grachtengordel-West";"      51"
"1.3.1 Ongevallen (weg)";"2014";"Grachtengordel-West";"      64"
"1.3.1 Ongevallen (weg)";"2015";"Grachtengordel-West";"      70"
"1.3.1 Ongevallen (weg)";"2016";"Grachtengordel-West";"      79"
"1.3.1 Ongevallen (weg)";"2017";"Grachtengordel-West";"      61"
"1.3.1 Ongevallen (weg)";"2018";"Grachtengordel-West";"      57"
