"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Banne Zuidwest";3755;1725;2035;755;550;940;860;650;2090;1055;380;230;455;2175;610;50;370;320;825;40;11;90;24;1565;675;250;635;2,3;11044
"Banne Zuidoost";4160;2110;2050;770;340;1385;1005;660;2390;1270;360;135;510;1810;430;60;360;320;640;70;16;35;8;2065;980;465;625;2;8322
"Banne Noordwest";2610;1265;1345;470;380;765;625;365;1485;750;280;100;320;1570;420;45;240;400;465;30;10;20;8;1240;635;185;425;2,1;8419
"Banne Noordoost";3620;1800;1815;700;520;940;895;560;1980;1190;305;140;420;1945;550;40;250;500;610;40;11;30;9;1545;560;335;645;2,3;9043
"Buiksloterbreek";330;165;165;55;30;75;100;65;160;140;20;15;70;15;0;0;0;5;10;5;9;0;6;140;45;45;50;2,3;4100
"Marjoleinterrein";340;180;165;70;45;125;75;25;225;90;20;5;50;155;55;5;15;35;50;0;6;0;0;150;65;30;55;2,3;11433
"Noordelijke IJ-oevers West";5815;3110;2705;690;795;3135;870;325;4420;1065;285;50;1255;1280;205;100;240;110;615;105;18;15;2;3660;2250;865;540;1,6;2326
"Papaverweg e.o.";1295;695;605;315;90;525;310;60;880;345;65;10;265;135;10;10;20;5;100;25;19;0;3;565;200;135;230;2,3;2274
"Cornelis Douwesterrein";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"NDSM terrein";2170;1130;1040;55;555;1475;75;15;1985;145;40;5;475;585;100;55;115;45;275;40;18;0;0;1725;1325;345;55;1,3;5868
"Buiksloterham";715;370;345;150;40;360;125;35;510;125;70;5;145;190;60;15;40;25;50;10;15;0;1;385;205;75;105;1,9;2040
"Overhoeks";1635;915;720;175;105;775;360;220;1045;450;110;30;375;365;40;20;70;35;195;25;18;10;5;985;520;305;155;1,7;5634
"Noordelijke IJ-oevers Oost";250;165;85;20;40;130;50;20;185;45;15;5;100;45;0;5;5;5;30;5;12;5;4;185;140;30;10;1,4;366
"Bedrijventerrein Hamerstraat";215;145;70;10;35;120;40;15;170;35;15;0;100;35;0;0;5;0;30;0;14;5;5;170;135;25;10;1,3;678
"Zamenhofstraat e.o.";10;5;5;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;5;1,1;
"Bedrijventerrein Nieuwendammerdijk";20;15;10;5;0;10;5;0;10;10;0;0;0;5;0;0;0;0;0;0;0;0;0;10;0;5;0;2,7;240
"Waterland";2415;1240;1175;460;250;445;790;465;1295;900;130;90;275;115;5;5;20;15;75;20;10;10;5;1005;320;275;410;2,4;97
"Schellingwoude West";65;30;35;10;10;10;30;15;40;20;10;5;10;5;0;0;0;0;0;0;0;0;0;30;10;10;5;2;447
"Schellingwoude Oost";630;315;315;150;55;130;205;105;365;220;35;15;90;25;5;0;10;10;5;5;13;0;3;255;70;70;110;2,4;958
"Schellingwoude Noord";5;5;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;
"Durgerdam";520;270;255;110;55;85;175;95;285;195;20;20;60;30;10;0;5;0;15;5;10;0;6;205;50;60;90;2,6;204
"Zwarte Gouw";20;15;5;0;5;5;5;0;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2,8;14
"Ransdorp";325;165;160;60;35;45;105;75;165;125;20;15;20;10;0;0;0;0;10;5;12;0;3;135;45;30;55;2,4;181
"Holysloot";290;150;140;60;30;45;105;60;130;125;20;20;25;10;0;0;0;0;10;0;0;0;0;110;25;30;60;2,6;38
"Zunderdorp";485;250;230;75;60;100;150;105;245;190;25;25;40;20;0;0;5;5;15;5;12;5;8;205;70;60;80;2,3;57
"Noorderstrook West";60;35;20;5;0;30;20;5;40;10;5;0;25;10;0;0;0;0;10;0;0;0;17;50;45;5;0;1,2;64
"Noorderstrook Oost";10;10;0;0;5;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;5;2,7;
"Elzenhagen";3855;2035;1815;880;485;1510;725;255;2550;1065;190;55;550;1510;305;50;270;205;680;75;20;10;3;1840;930;285;620;2,1;4701
"Nintemanterrein";125;70;55;40;5;25;35;20;65;60;0;0;15;5;0;0;0;0;5;0;16;0;0;40;0;15;25;3,2;3150
"Elzenhagen Zuid";825;500;325;50;200;480;75;30;715;85;25;5;95;475;45;15;55;35;320;10;16;5;5;705;615;45;40;1,2;2757
"Elzenhagen Noord";2905;1465;1435;800;280;1005;610;210;1770;925;160;50;440;1035;260;35;210;170;350;60;21;5;2;1095;320;225;555;2,6;6046
