"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Westerstaatsman";2500;36,5;31,4;33,4;29;29,1;48,6;13,9;13,6;11,1;15,7;18;13,4
"Buyskade e.o.";2600;41,9;35;31,6;35;33,2;40,5;24,6;10,9;10,3;14,2;16;17,7
"Centrale Markt";2000;36,5;30,7;35,7;28,6;30,9;41;22,3;10,1;10;14,6;17;34,4
"Ecowijk";1100;36,1;29,6;35,3;30,9;31,8;33,3;27,5;8,7;7,7;11,7;14;118,4
"Markthallen";0;;;;;;;;;;;;
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"Marcanti";800;37,3;32,3;35,9;25,7;30;49,7;16,1;11,7;12,8;18,2;20,9;14,6
"Frederik Hendrikbuurt";7000;38,6;33,3;34,4;29;29,8;51,2;16,7;14,4;13,6;17,8;20,4;11,9
"Frederik Hendrikbuurt Noord";3300;37,5;32;34,4;27,7;28,9;51,1;16,8;14;13,9;17,8;20,6;11,4
"Frederik Hendrikbuurt Zuidoost";2700;39,1;34,3;34,3;29,9;29,2;53,7;15,1;16;14,4;18,9;21,3;7,7
"Frederik Hendrikbuurt Zuidwest";1000;40,6;35,2;34,4;30,8;34,5;44;21;11,4;10,8;14,7;17,2;35
"Da Costabuurt";4000;43;37,2;31,7;33;32,1;47,6;21,1;9,8;10,4;12,7;14,8;20
"Da Costabuurt Noord";4000;43;37,2;31,7;33;32,1;47,6;21,1;9,8;10,4;12,7;14,8;20
"Kinkerbuurt";5300;38,8;33,4;33,9;28,7;29,3;52,4;16,2;14,1;13,1;17;20,1;5,8
"Bellamybuurt Noord";2100;37,9;32,3;35,8;27,4;29,2;53;17,2;14,2;13,1;17,8;21,2;6,4
"Bellamybuurt Zuid";3200;39,3;34,1;32,6;29,5;29,4;52;15,7;14,1;13;16,5;19,5;5,5
"Van Lennepbuurt";6000;34,1;29,5;40,7;23,1;27,2;58,4;11,6;16,4;16,3;21,7;25,4;6,7
"Da Costabuurt Zuid";1900;41,1;35,6;32,1;30,2;31,2;51,9;14,5;12,4;11,3;13,9;16,6;13,5
"Borgerbuurt";2500;27,3;23,7;49,9;15,8;23,4;65,1;8,1;19;21,1;28,8;33,7;4,1
"Lootsbuurt";1600;36,2;31,4;36,6;26,2;27,7;56,5;12,9;17,5;15,2;20,7;23,5;6,9
"Helmersbuurt";6100;47,3;39,9;31,6;35,5;34,8;46,5;22,5;11,4;10,8;13,6;16;23,4
"Helmersbuurt Oost";2100;53,7;44,2;28;38,4;38,7;41,4;26;7;7;8,3;9,9;28,8
"WG-terrein";2100;40,2;34,7;37,7;29,9;31,2;54,1;19;15,9;14,8;19,5;22,9;18,8
"Cremerbuurt Oost";1900;48,1;40,8;28,7;38,5;34,5;43,6;22,7;10,8;10,3;12,6;14,8;26,1
"Overtoomse Sluis";6600;47,4;40,4;28,8;36,5;34,3;44,5;22,9;9,2;8,9;11,7;13,9;22,1
"Cremerbuurt West";4800;46,1;39,5;28,8;35,7;33,7;44,7;21,6;10;9,2;12,3;14,5;17,7
"Vondelparkbuurt West";1800;50,9;42,9;29;38,4;36,1;43,9;26,7;7,2;8;10;12,2;35,4
"Vondelbuurt";1400;67,4;53,8;33,2;37;50;44,7;30,9;11,9;10,7;14,2;16;45,6
"Vondelparkbuurt Oost";700;72,1;57,2;29,6;40,9;52,5;39,3;35,1;11,4;9,5;11,2;11,4;82,6
"Vondelparkbuurt Midden";700;62,4;50,2;36,9;32,9;47,4;50,3;26,6;12,4;11,9;17,3;20,7;25,9
"Zuidas";2800;63,8;53,7;29;41,1;41,3;51,1;25,2;4;2,8;4,1;5,6;2,4
