"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.4.7 Overval";"2018";"Anjeliersbuurt-Zuid";"       1"
"1.4.7 Overval";"2019";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2020";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2021";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2022";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2023";"Anjeliersbuurt-Zuid";"       0"
"1.4.7 Overval";"2012";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2013";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2014";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2015";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2016";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2017";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2018";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2019";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2020";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2021";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2022";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2023";"Marnixbuurt-Midden";"       0"
"1.4.7 Overval";"2012";"Bloemgrachtbuurt";"       2"
"1.4.7 Overval";"2013";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2014";"Bloemgrachtbuurt";"       1"
"1.4.7 Overval";"2015";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2016";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2017";"Bloemgrachtbuurt";"       1"
"1.4.7 Overval";"2018";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2019";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2020";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2021";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2022";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2023";"Bloemgrachtbuurt";"       0"
"1.4.7 Overval";"2012";"Groenmarktkadebuurt";"       1"
"1.4.7 Overval";"2013";"Groenmarktkadebuurt";"       1"
"1.4.7 Overval";"2014";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2015";"Groenmarktkadebuurt";"       1"
"1.4.7 Overval";"2016";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2017";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2018";"Groenmarktkadebuurt";"       1"
"1.4.7 Overval";"2019";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2020";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2021";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2022";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2023";"Groenmarktkadebuurt";"       0"
"1.4.7 Overval";"2012";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2013";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2014";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2015";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2016";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2017";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2018";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2019";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2020";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2021";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2022";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2023";"Marnixbuurt-Zuid";"       0"
"1.4.7 Overval";"2012";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2013";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2014";"Elandsgrachtbuurt";"       2"
"1.4.7 Overval";"2015";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2016";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2017";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2018";"Elandsgrachtbuurt";"       1"
"1.4.7 Overval";"2019";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2020";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2021";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2022";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2023";"Elandsgrachtbuurt";"       0"
"1.4.7 Overval";"2012";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2013";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2014";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2015";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2016";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2017";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2018";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2019";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2020";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2021";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2022";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2023";"Passeerdersgrachtbuurt";"       0"
"1.4.7 Overval";"2012";"Grachtengordel-West";"       4"
"1.4.7 Overval";"2013";"Grachtengordel-West";"       0"
"1.4.7 Overval";"2014";"Grachtengordel-West";"       3"
"1.4.7 Overval";"2015";"Grachtengordel-West";"       3"
"1.4.7 Overval";"2016";"Grachtengordel-West";"       1"
"1.4.7 Overval";"2017";"Grachtengordel-West";"       0"
"1.4.7 Overval";"2018";"Grachtengordel-West";"       1"
"1.4.7 Overval";"2019";"Grachtengordel-West";"       1"
"1.4.7 Overval";"2020";"Grachtengordel-West";"       0"
"1.4.7 Overval";"2021";"Grachtengordel-West";"       0"
"1.4.7 Overval";"2022";"Grachtengordel-West";"       0"
"1.4.7 Overval";"2023";"Grachtengordel-West";"       1"
"1.4.7 Overval";"2012";"Langestraat e.o.";"       0"
"1.4.7 Overval";"2013";"Langestraat e.o.";"       0"
"1.4.7 Overval";"2014";"Langestraat e.o.";"       1"
