"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Elandsgrachtbuurt";4325;2190;2135;350;395;1650;1215;715;2910;925;395;100;1230;620;90;45;105;60;330;45;10;25;6;2890;1925;585;385;1,5;22924
"Passeerdersgrachtbuurt";865;455;410;50;80;315;250;170;600;165;70;30;245;110;10;15;15;10;60;5;10;5;9;610;420;130;55;1,4;18887
"Groenmarktkadebuurt";240;120;120;5;50;140;35;15;195;30;15;5;75;40;5;5;5;5;25;0;4;5;4;165;100;60;5;1,5;6712
"Marnixbuurt Zuid";690;365;320;35;30;290;140;195;430;120;80;55;190;100;15;5;15;5;60;0;3;20;32;515;395;85;35;1,3;16670
"Anjeliersbuurt Noord";2100;1060;1040;205;215;675;645;365;1420;455;170;55;535;210;30;15;30;10;130;15;8;10;4;1315;825;270;230;1,6;22183
"Anjeliersbuurt Zuid";2955;1490;1460;250;255;945;980;530;2030;600;270;60;750;370;40;20;75;15;220;20;6;20;7;1960;1310;385;265;1,5;26716
"De Weteringschans";7260;3730;3525;680;875;3025;1730;940;5055;1635;435;135;2185;895;45;60;100;70;625;65;9;30;4;4650;2930;1075;650;1,6;13048
"Leidsebuurt Noordwest";255;150;110;5;30;145;55;20;200;45;15;0;90;40;0;0;0;0;35;0;4;5;4;195;150;45;10;1,3;10318
"Leidsebuurt Zuidwest";145;75;70;15;20;70;30;20;105;30;10;5;60;30;5;0;0;0;25;0;14;0;0;100;65;20;10;1,5;5377
"Leidsebuurt Noordoost";990;500;495;40;220;510;155;75;800;130;50;15;325;180;5;10;20;15;130;10;7;5;3;720;510;155;50;1,4;18383
"Leidsebuurt Zuidoost";310;165;140;25;40;125;80;40;215;65;15;10;90;50;5;5;5;0;35;0;7;0;7;200;135;45;25;1,5;7089
"Weteringbuurt";2420;1205;1215;275;245;1100;520;280;1750;520;115;35;740;270;20;10;30;25;185;25;12;5;3;1510;910;365;235;1,6;20374
"Den Texbuurt";1060;570;490;120;125;365;280;175;670;300;65;25;295;120;10;10;15;10;85;10;10;5;4;615;355;140;125;1,7;11161
"Utrechtsebuurt Zuid";1155;590;565;100;115;395;345;195;730;295;100;30;330;105;0;10;15;15;65;10;8;5;4;750;475;170;105;1,5;20348
"Frederikspleinbuurt";915;480;435;100;80;320;270;140;590;240;70;15;265;105;10;10;15;5;70;5;3;5;5;550;330;135;90;1,7;6739
"Weesperbuurt/Plantage";7745;4120;3625;655;1040;2850;2055;1140;5305;1610;645;180;2060;1320;140;60;255;85;770;65;8;70;9;4590;2925;1050;615;1,5;9970
"Weesperbuurt";3330;1790;1540;220;465;1225;840;575;2245;660;330;85;895;595;70;20;135;30;335;25;7;45;14;2020;1355;440;225;1,5;15698
"Sarphatistrook";2155;1170;985;185;290;875;600;205;1555;405;165;30;565;440;55;20;85;40;240;15;8;10;6;1225;765;285;170;1,6;11794
"de Plantage";1850;940;910;195;245;565;520;325;1200;470;125;60;490;240;15;15;30;15;160;20;10;10;7;1095;650;260;185;1,6;5419
"Alexanderplein e.o.";405;220;185;55;45;185;90;35;305;75;20;5;105;55;0;0;5;10;35;5;12;0;5;250;150;55;40;1,6;10184
"Oostelijke Eilanden/Kadijken";13245;6610;6635;1480;1555;4385;3885;1950;8805;2925;1245;275;2790;3185;580;125;805;215;1470;125;10;80;6;7950;4760;1640;1555;1,6;13422
"Marine-Etablissement";85;50;35;15;0;30;30;5;55;20;10;0;10;15;0;0;0;0;15;5;24;0;0;40;20;10;10;1,8;497
"Kattenburg";1710;805;905;150;380;455;380;350;1045;435;175;55;335;375;55;15;105;30;160;20;10;5;4;1060;675;205;185;1,6;19153
"Wittenburg";2190;1105;1090;205;205;725;725;325;1465;430;260;40;410;665;90;35;210;45;280;25;12;10;5;1335;790;270;275;1,6;17628
"Oostenburg";1725;890;840;210;165;625;525;205;1125;400;170;30;315;585;125;20;155;50;235;25;13;5;3;980;560;200;225;1,7;8552
"Czaar Peterbuurt";2385;1210;1180;270;260;1115;520;225;1745;390;210;40;525;685;150;25;170;25;315;25;10;30;14;1485;935;285;260;1,6;22944
"Het Funen";1375;700;675;290;205;365;400;120;910;365;85;20;355;285;70;5;45;20;145;10;7;0;1;675;310;145;215;2,1;18650
"Kazernebuurt";960;455;510;60;120;300;300;180;670;180;90;25;200;190;35;10;45;20;80;10;7;0;3;615;390;125;95;1,5;17562
"Kadijken";2810;1405;1405;275;220;780;1000;535;1795;705;245;60;640;395;50;15;75;20;240;20;7;20;6;1760;1075;390;300;1,6;16542
"Westelijk Havengebied";175;115;65;10;15;65;65;15;120;30;20;5;55;30;0;0;10;5;20;0;6;0;0;135;110;10;15;1,3;9
"Coenhaven/Mercuriushaven";35;20;15;5;5;10;10;5;15;5;5;0;10;10;0;0;0;5;10;0;0;0;0;20;10;5;5;1,7;21
"Alfa-driehoek";10;10;0;0;0;10;0;0;5;0;0;0;5;5;0;0;0;0;5;0;0;0;0;10;5;5;0;1,1;
"Petroleumhaven";0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
"Westhaven Noord";25;15;10;0;0;15;5;5;10;10;0;0;0;5;0;0;5;0;0;0;37;0;0;15;5;0;5;1,9;7
"Vervoerscentrum";10;5;10;0;5;5;5;0;10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;10;10;0;0;1;
"Amerikahaven";85;60;25;0;5;25;45;5;65;5;10;0;35;10;0;0;0;5;10;0;0;0;0;75;75;0;5;1,1;12
"Afrikahaven";5;5;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
